,SCOPUS ID,PUBMED ID,title,journal,volume,articlenum,date,type,forward citations,abstract,keywords,authors,backward citations,id,CONTROVERSIAL,GOOD_FOR_TEACHING,CONFIRMATION,TECHNICAL_ADVANCE,NOVEL_DRUG_TARGET,NEW_FINDING,HYPOTHESIS,REFUTATION,NEGATIVE,year
14820,SCOPUS_ID:85059882663,30528433,The Human RNA-Binding Proteome and Its Dynamics during Translational Arrest,Cell,176.0,391-403.e19,2019-01-10,Article,162,"© 2018 Elsevier Inc.A general approach for characterizing cellular RNA-protein interactions allows examination of dynamic changes to the RNA-bound proteome. © 2018 Elsevier Inc.Proteins and RNA functionally and physically intersect in multiple biological processes, however, currently no universal method is available to purify protein-RNA complexes. Here, we introduce XRNAX, a method for the generic purification of protein-crosslinked RNA, and demonstrate its versatility to study the composition and dynamics of protein-RNA interactions by various transcriptomic and proteomic approaches. We show that XRNAX captures all RNA biotypes and use this to characterize the sub-proteomes that interact with coding and non-coding RNAs (ncRNAs) and to identify hundreds of protein-RNA interfaces. Exploiting the quantitative nature of XRNAX, we observe drastic remodeling of the RNA-bound proteome during arsenite-induced stress, distinct from autophagy-related changes in the total proteome. In addition, we combine XRNAX with crosslinking immunoprecipitation sequencing (CLIP-seq) to validate the interaction of ncRNA with lamin B1 and EXOSC2. Thus, XRNAX is a resourceful approach to study structural and compositional aspects of protein-RNA interactions to address fundamental questions in RNA-biology.",autophagy; mass spectrometry; mRNA; ncRNA; protein-RNA interactions; proteomics; ribophagy; RNA-binding domain; Trizol; UV-crosslinking,Trendel J.; Schwarzl T.; Horos R.; Prakash A.; Bateman A.; Hentze M.W.; Krijgsveld J.,59.0,734567575.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
15059,SCOPUS_ID:85086386623,32470396,Interrogation of the Microenvironmental Landscape in Brain Tumors Reveals Disease-Specific Alterations of Immune Cells,Cell,181.0,1643-1660.e17,2020-06-25,Article,265,"© 2020 Elsevier Inc.Brain malignancies encompass a range of primary and metastatic cancers, including low-grade and high-grade gliomas and brain metastases (BrMs) originating from diverse extracranial tumors. Our understanding of the brain tumor microenvironment (TME) remains limited, and it is unknown whether it is sculpted differentially by primary versus metastatic disease. We therefore comprehensively analyzed the brain TME landscape via flow cytometry, RNA sequencing, protein arrays, culture assays, and spatial tissue characterization. This revealed disease-specific enrichment of immune cells with pronounced differences in proportional abundance of tissue-resident microglia, infiltrating monocyte-derived macrophages, neutrophils, and T cells. These integrated analyses also uncovered multifaceted immune cell activation within brain malignancies entailing converging transcriptional trajectories while maintaining disease- and cell-type-specific programs. Given the interest in developing TME-targeted therapies for brain malignancies, this comprehensive resource of the immune landscape offers insights into possible strategies to overcome tumor-supporting TME properties and instead harness the TME to fight cancer. © 2020 Elsevier Inc.High-dimensional, multi-omics characterization of the brain tumor microenvironment, including comparisons of gliomas and brain metastases, suggests that education of immune cell types in the TME depends on tumor origin and IDH mutational status.",brain metastasis; cancer immunology; glioblastoma; glioma; microglia; monocyte-derived macrophages; neutrophils; T cells; tumor microenvironment; tumor-associated macrophages,Klemm F.; Maas R.R.; Bowman R.L.; Kornete M.; Soukup K.; Nassiri S.; Brouland J.-P.; Iacobuzio-Donahue C.A.; Brennan C.; Tabar V.; Gutin P.H.; Daniel R.T.; Hegi M.E.; Joyce J.A.,95.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
10797,SCOPUS_ID:49549117077,18691745,T Cell-Specific siRNA Delivery Suppresses HIV-1 Infection in Humanized Mice,Cell,134.0,577-586,2008-08-22,Article,501,"Evaluation of the therapeutic potential of RNAi for HIV infection has been hampered by the challenges of siRNA delivery and lack of suitable animal models. Using a delivery method for T cells, we show that siRNA treatment can dramatically suppress HIV infection. A CD7-specific single-chain antibody was conjugated to oligo-9-arginine peptide (scFvCD7-9R) for T cell-specific siRNA delivery in NOD/SCIDIL2rγ-/- mice reconstituted with human lymphocytes (Hu-PBL) or CD34+ hematopoietic stem cells (Hu-HSC). In HIV-infected Hu-PBL mice, treatment with anti-CCR5 (viral coreceptor) and antiviral siRNAs complexed to scFvCD7-9R controlled viral replication and prevented the disease-associated CD4 T cell loss. This treatment also suppressed endogenous virus and restored CD4 T cell counts in mice reconstituted with HIV+ peripheral blood mononuclear cells. Moreover, scFvCD7-9R could deliver antiviral siRNAs to naive T cells in Hu-HSC mice and effectively suppress viremia in infected mice. Thus, siRNA therapy for HIV infection appears to be feasible in a preclinical animal model. © 2008 Elsevier Inc. All rights reserved.",CELLIMMUNO; HUMDISEASE,Kumar P.; Ban H.-S.; Kim S.-S.; Wu H.; Pearson T.; Greiner D.L.; Laouar A.; Yao J.; Haridas V.; Habiro K.; Yang Y.-G.; Jeong J.-H.; Lee K.-Y.; Kim Y.-H.; Kim S.W.; Peipp M.; Fey G.H.; Manjunath N.; Shultz L.D.; Lee S.-K.; Shankar P.,47.0,1120450.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2008
8594,SCOPUS_ID:0033003134,10380922,Reeler/disabled-like disruption of neuronal migration in knockout mice lacking the VLDL receptor and ApoE receptor 2,Cell,97.0,689-701,1999-01-01,Article,1078,"Layering of neurons in the cerebral cortex and cerebellum requires Reelin, an extracellular matrix protein, and mammalian Disabled (mDab1), a cytosolic protein that activates tyrosine kinases. Here, we report the requirement for two other proteins, cell surface receptors termed very low density lipoprotein receptor (VLDLR) and apolipoprotein E receptor 2 (ApoER2). Both receptors can bind mDab1 on their cytoplasmic tails and are expressed in cortical and cerebellar layers adjacent to layers that express Reelin- mDab1 expression is upregulated in knockout mice that lack both VLDLR and ApoER2. Inversion of cortical layers and absence of cerebellar foliation in these animals precisely mimic the phenotype of mice lacking Reelin or mDab1. These findings suggest that VLDLR and ApoER2 participate in transmitting the extracellular Reelin signal to intracellular signaling processes initiated by mDab1.",,Trommsdorff M.; Gotthardt M.; Hiesberger T.; Shelton J.; Stockinger W.; Nimpf J.; Hammer R.E.; Richardson J.A.; Herz J.,44.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999
5552,SCOPUS_ID:0025936210,1934057,Microsurgical removal of centrosomes blocks cell reproduction and centriole generation in BSC-1 cells,Cell,67.0,495-504,1991-11-01,Article,176,"We have removed the centrosome from cultured BSC-1 cells by microsurgery, leaving enough cytoplasm with the nucleated cell fragment (karyoplast) to ensure survival and growth. In each experiment, we followed the fate of the karyoplast as well as the anucleate cell fragment (cytoplast) containing the original pair of centrioles. Experimental karyoplasts reestablish a juxtanuclear microtubule-organizing center, an astral array of microtubules, and a compact Golgi apparatus. They enter and presumably complete S phase, and they grow beyond the size of an average BSC-1 cell. However, they do not regenerate centrioles in time periods equivalent to more than 10 cell cycles and do not undergo cell division. Control-operated cells with centrosomes left in the karyoplast progress through the cell cycle, duplicate the centrosome, and form clonal cell colonies. We conclude that the removal of centrioles uncouples cell growth from cell reproduction and impedes centriole biogenesis and centrosome duplication. © 1991.",,Maniotis A.; Schliwa M.,63.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991
3823,SCOPUS_ID:0022542598,2417730,Different pathways of differentiation of pre-B cell lines are induced by dendritic cells and T cells from different lymphoid tissues,Cell,44.0,507-515,1986-02-14,Article,70,"Nontransformed pre-B cells were induced to differentiate in vitro along several different but predictable pathways with only dendritic cells (DC) and conconavalin A-stimulated T lymphocytes. DC-T from spleen induced secretion of only IgM, whereas DC-T from Peyer's patches induced high levels of IgA and intermediate levels of IgM and IgG. Both the isotype of antibody secreted and the extent of pre-B cell differentiation were determined by the Iymphoid tissue source of DC, not of T cells. The pre-B cells synthesizing detectable levels of only the IgM heavy chain had cytoplasmic RNA transcripts from both light chain constant region genes and from the entire length of the heavy chain constant locus. In cells secreting IgM there were deletions in the DNA flanking the Cμ coding region. © 1986.",,Spalding D.M.; Griffin J.A.,34.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
3183,SCOPUS_ID:0022366774,3986909,A 46-nucleotide promoter segment from an IFN-α gene renders an unrelated promoter inducible by virus,Cell,41.0,497-507,1985-01-01,Article,117,"A hybrid gene consisting of the human IFN-α1 promoter and a β-globin transcription unit is expressed correctly only after viral induction. To determine the region required for inducibility, 25 hybrid promoters consisting of varying upstream IFN-α1 and downstream β-globin promoter moieties were analyzed, and 5′-deletion analysis was performed on an inducible hybrid promoter. An IFN promoter region from position -109 to -64 conferred maximal inducibility on downstream β-globin promoter segments and even on the intact β-globin promoter. This region is strikingly conserved among human IFN-α and -β genes. As constitutive expression of the β-globin gene was not diminished by placing IFN promoter fragments in various positions, induction is attributed largely to positive, rather than to negative control. © 1985 MIT.",,Ryals J.; Dierks P.; Ragg H.; Weissmann C.,55.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1985
1201,SCOPUS_ID:0018416605,455448,"A family of short, interspersed repeat sequences at the 5′ end of a set of dictyostelium single-copy mRNAs",Cell,16.0,787-796,1979-01-01,Article,38,"M4 is a recombinant plasmid containing Dictyostelium nuclear DNA. The restriction map has been determined (K. Kindle and R. Firtel, manuscript submitted) and the four major fragments have been subcloned in pBR322. M4 is >90% single-copy; however, it does contain a short (300 bp) sequence repeated ∼100 times in the Dictyostelium genome. The short repeat sequence is interspersed between single-copy regions. 1-1.5% of total vegetative poly(A)+ mRNA hybridizes to the repeat, but only 10 % of the hybridization is resistant to low levels of RNAase. The mRNA is heterogeneous in size and 90 % of the mass is complementary to Dictyostelium single-copy DNA. We have also shown that one of the single-copy regions adjacent to the repeat is complementary to a low abundance class mRNA (0.01% of total mRNA). Sandwich hybridization experiments show that unlabeled RNA that hybridizes to this single-copy region will also hybridize 32p repeat. Exonuclease studies indicate that the repeat and single-copy regions are part of a single transcription unit which encodes a 1.2 kb mRNA. The 5′ end of this mRNA is complementary to the short repeat sequence and the remainder of the mRNA is transcribed from single-copy DNA. Furthermore, RNA excess hybridization to 32P-labeled separated strands of the repeat suggests that the repeat sequence is transcribed asymmetrically into poly(A)+ RNA. We have proposed a model in which this repeat sequence is adjacent to ∼100 different single-copy genes and is transcribed to produce different mRNA molecules carrying the common repeat sequence at the 5′ end. © 1979.",,Kimmel A.R.; Firtel R.A.,49.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979
751,SCOPUS_ID:0018221893,688382,"The structural organization of DNA packaged within the heads of T4 wild-type, isometric and giant bacteriophages",Cell,14.0,559-568,1978-01-01,Article,111,"We present electron microscopic and X-ray diffraction evidence concerning the structural organization of condensed DNA within a series of T4 bacteriophage with the following head morphologies: prolate (wild-type), isometric and giant (with greatly increased axial ratio). In all cases, the DNA helix segments are locally parallel and 27 Å apart. For the giant particles, we show that the DNA forms a large coil whose axis is perpendicular to the axis of the phage tail. This evidence, combined with previous results from a series of isometric bacteriophages (Earnshaw and Harrison, 1977), leads to a model for the organization of condensed DNA that may apply to most dsDNA-containing bacteriophages. © 1978.",,Earnshaw W.C.; King J.; Harrison S.C.; Eiserling F.A.,27.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1978
14394,SCOPUS_ID:85041492297,29398116,Dynamic Ligand Discrimination in the Notch Signaling Pathway,Cell,172.0,869-880.e19,2018-02-08,Article,158,"© 2018 The AuthorsThe Notch signaling pathway comprises multiple ligands that are used in distinct biological contexts. In principle, different ligands could activate distinct target programs in signal-receiving cells, but it is unclear how such ligand discrimination could occur. Here, we show that cells use dynamics to discriminate signaling by the ligands Dll1 and Dll4 through the Notch1 receptor. Quantitative single-cell imaging revealed that Dll1 activates Notch1 in discrete, frequency-modulated pulses that specifically upregulate the Notch target gene Hes1. By contrast, Dll4 activates Notch1 in a sustained, amplitude-modulated manner that predominantly upregulates Hey1 and HeyL. Ectopic expression of Dll1 or Dll4 in chick neural crest produced opposite effects on myogenic differentiation, showing that ligand discrimination can occur in vivo. Finally, analysis of chimeric ligands suggests that ligand-receptor clustering underlies dynamic encoding of ligand identity. The ability of the pathway to utilize ligands as distinct communication channels has implications for diverse Notch-dependent processes. Notch ligands activate distinct targets through the same Notch receptor by triggering pulsatile or sustained activation dynamics.",intercellular signaling; ligand multiplicity; myogenesis; Notch pathway; signal decoding; signal encoding; signaling dynamics; single cell dynamics; systems biology,Nandagopal N.; Santat L.A.; LeBon L.; Sprinzak D.; Bronner M.E.; Elowitz M.B.,58.0,732604749.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2018
9646,SCOPUS_ID:5444271940,15479637,Noncanonical function of glutamyl-prolyl-tRNA synthetase: Gene-specific silencing of translation,Cell,119.0,195-208,2004-10-15,Article,202,"Aminoacyl tRNA synthetases (ARS) catalyze the ligation of amino acids to cognate tRNAs. Chordate ARSs have evolved distinctive features absent from ancestral forms, including compartmentalization in a multisynthetase complex (MSC), noncatalytic peptide appendages, and ancillary functions unrelated to aminoacylation. Here, we show that glutamyl-prolyl-tRNA synthetase (GluProRS), a bifunctional ARS of the MSC, has a regulated, noncanonical activity that blocks synthesis of a specific protein. GluProRS was identified as a component of the interferon (IFN)-gamma-activated inhibitor of translation (GAIT) complex by RNA affinity chromatography using the ceruloplasmin (Cp) GAIT element as ligand. In response to IFN-γ, GluProRS is phosphorylated and released from the MSC, binds the Cp 3′-untranslated region in an mRNP containing three additional proteins, and silences Cp mRNA translation. Thus, GluProRS has divergent functions in protein synthesis: in the MSC, its aminoacylation activity supports global translation, but translocation of GluProRS to an inflammation-responsive mRNP causes gene-specific translational silencing.",,Sampath P.; Mazumder B.; Seshadri V.; Gerber C.A.; Chavatte L.; Kinter M.; Ting S.M.; Dignam J.D.; Kim S.; Driscoll D.M.; Fox P.L.,55.0,1022237.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2004
8096,SCOPUS_ID:0032514844,9827807,Architecture of the γδ resolvase synaptosome: Oriented heterodimers identify interactions essential for synapsis and recombination,Cell,95.0,553-562,1998-11-13,Article,44,"γδ resolvase catalyzes recombination within a complex nucleoprotein structure containing at least 12 resolvase subunits bound to two 114 bp res sites. The 2,3'interaction between resolvase dimers is essential for synapsis and recombination. Using oriented resolvase heterodimers, we have identified half sites of res that must be occupied by a 2,3'-proficient protomer. For synapsis, only four of the eight subunits bound to sites II and III, those at II-L and III-L, require a 2,3'proficient interface. This 2,3' interaction, apparently between protomers bound to adjacent sites, may nucleate assembly of the core synaptic complex. For recombination, 2,3'-proficient subunits are also required at sites I-R and III-R, suggesting an important communication between the crossover site and the core of the synapse.",,Murley L.L.; Grindley N.D.F.,29.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998
2273,SCOPUS_ID:0020077227,7066988,The ovalbumin gene is associated with the nuclear matrix of chicken oviduct cells,Cell,28.0,99-106,1982-01-01,Article,223,"The DNA in a eucaryotic nucleus is arranged into a series of supercoiled loops that are anchored at their bases to the nuclear matrix. Using nuclease digestion, one can progressively cleave DNA from the loops, thereby isolating residual DNA that is progressively closer to the nuclear matrix anchorage sites. We have determined that the ovalbumin gene is preferentially associated with the nuclear matrix of chicken oviduct cells, but is not preferentially associated with the nuclear matrix of chicken liver cells. As a control, the β-globin gene, which is not transcribed in oviduct cells, was found not to be preferentially associated with the oviduct nuclear matrix. The observation that the transcriptionally active ovalbumin gene is preferentially associated with the nuclear matrix may have significant implications for gene expression and the organization of nuclear DNA into supercoiled-loop domains. © 1982.",,Robinson S.I.; Nelkin B.D.; Vogelstein B.,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
